id,text,url,death_date,name,age,nationality,cause,description,votes,sortorder,article_length,versions,editors,inbound_links
2080,"Tommy Preston, 82, Scottish footballer (Hibernian).[334]",https://en.wikipedia.org/wiki/Tommy_Preston,2015-04-16 00:00:00,Tommy Preston,82.0,Scottish,, footballer (Hibernian),0,0,455,21,13,17
2081,"Lee Remmel, 90, American public relations director (Green Bay Packers).[335]",https://en.wikipedia.org/wiki/Lee_Remmel,2015-04-16 00:00:00,Lee Remmel,90.0,American,, public relations director (Green Bay Packers),0,0,2550,66,33,184
2082,"Marjorie Elliott Sypher, 89, Canadian-born Costa Rican First Lady (1974–1978). [337]",https://en.wikipedia.org/wiki/Marjorie_Elliott_Sypher,2015-04-16 00:00:00,Marjorie Elliott Sypher,89.0,Canadian-born Costa Rican,, First Lady (1974–1978),0,0,695,13,7,10
2083,"Giuseppe Zigaina, 91, Italian neorealist painter and author.[338]",https://en.wikipedia.org/wiki/Giuseppe_Zigaina,2015-04-16 00:00:00,Giuseppe Zigaina,91.0,Italian,, neorealist painter and author,0,0,910,20,8,10
2084,"Renato Altissimo, 74, Italian politician, Minister of Health (1979–1980, 1981–1983), Minister of Trade and Industry (1983–1986).[339]",https://en.wikipedia.org/wiki/Renato_Altissimo,2015-04-17 00:00:00,Renato Altissimo,74.0,Italian,," politician, Minister of Health (1979–1980, 1981–1983), Minister of Trade and Industry (1983–1986)",0,0,812,48,30,95
2085,"Steve Beck, 58, English executive, chairman of York City F.C. (2003-2004).[340]",https://en.wikipedia.org/wiki/Steve_Beck_(chairman),2015-04-17 00:00:00,Steve Beck,58.0,English,," executive, chairman of York City F.C. (2003-2004)",0,0,1023,15,7,13
2086,"Brian Couzens, 82, British music industry executive (Chandos Records).[341]",https://en.wikipedia.org/wiki/Brian_Couzens,2015-04-17 00:00:00,Brian Couzens,82.0,British,, music industry executive (Chandos Records),0,0,2438,16,5,10
2087,"Mariano Gago, 66, Portuguese physicist and politician, cancer.[342]",https://en.wikipedia.org/wiki/Mariano_Gago,2015-04-17 00:00:00,Mariano Gago,66.0,Portuguese,cancer, physicist and politician,0,0,2869,65,43,29
2088,"Francis George, 78, American Roman Catholic Cardinal, Archbishop of Chicago (1997–2014), President of the Conference of Catholic Bishops (2007–2010), bladder cancer.[343]",https://en.wikipedia.org/wiki/Francis_George,2015-04-17 00:00:00,Francis George,78.0,American,bladder cancer, Roman Catholic Cardinal Archbishop of Chicago (1997–2014) President of the Conference of Catholic Bishops (2007–2010),0,0,27650,774,342,379
2089,"Peter Graham, 60, English cricketer.[344]","https://en.wikipedia.org/wiki/Peter_Graham_(cricketer,_born_1954)",2015-04-17 00:00:00,Peter Graham,60.0,English,, cricketer,0,0,1914,18,14,18
2090,"Robert P. Griffin, 91, American politician, member of the U.S. Senate from Michigan (1966–1977) and House of Representatives from Michigan's 9th district (1957–1966).[345]",https://en.wikipedia.org/wiki/Robert_P._Griffin,2015-04-17 00:00:00,Robert P. Griffin,91.0,American,," politician, member of the U.S. Senate from Michigan (1966–1977) and House of Representatives from Michigan's 9th district (1957–1966)",0,0,2761,153,103,432
2091,"Jaroslav Holík, 72, Czech ice hockey player, world champion (1972).[346]",https://en.wikipedia.org/wiki/Jaroslav_Hol%C3%ADk,2015-04-17 00:00:00,Jaroslav Holík,72.0,Czech,," ice hockey player, world champion (1972)",0,0,1055,49,34,26
2092,"Viktor Korshunov, 85, Russian actor, People's Artist of the USSR.[347]",https://en.wikipedia.org/wiki/Viktor_Korshunov,2015-04-17 00:00:00,Viktor Korshunov,85.0,Russian,," actor, People's Artist of the USSR",0,0,155,17,8,7
2093,"Tore Bernitz Pedersen, 80, Norwegian cartoonist.[348]",https://en.wikipedia.org/wiki/Tore_Bernitz_Pedersen,2015-04-17 00:00:00,Tore Bernitz Pedersen,80.0,Norwegian,, cartoonist,0,0,677,13,9,6
2094,"Hannes Lindemann, 92, German sailor.[349]",https://en.wikipedia.org/wiki/Hannes_Lindemann,2015-04-17 00:00:00,Hannes Lindemann,92.0,German,, sailor,0,0,1936,74,50,17
2095,"Ray Nemec, 85, American baseball researcher and historian.[350]",https://en.wikipedia.org/wiki/Ray_Nemec,2015-04-17 00:00:00,Ray Nemec,85.0,American,, baseball researcher and historian,0,0,474,5,4,7
2096,"Scotty Probasco, 86, American businessman and philanthropist.[351]",https://en.wikipedia.org/wiki/Scotty_Probasco,2015-04-17 00:00:00,Scotty Probasco,86.0,American,, businessman and philanthropist,0,0,2906,47,15,13
2097,"Don Quayle, 84, American broadcast journalist, President of NPR (1970–1973).[352]",https://en.wikipedia.org/wiki/Don_Quayle,2015-04-17 00:00:00,Don Quayle,84.0,American,," broadcast journalist, President of NPR (1970–1973)",0,0,993,40,29,15
2098,"Jack Rieley, 72, American record producer and band manager (The Beach Boys).[353]",https://en.wikipedia.org/wiki/Jack_Rieley,2015-04-17 00:00:00,Jack Rieley,72.0,American,, record producer and band manager (The Beach Boys),0,0,2104,104,54,231
2099,"Jeremiah J. Rodell, 93, American brigadier general and priest.[354]",https://en.wikipedia.org/wiki/Jeremiah_J._Rodell,2015-04-17 00:00:00,Jeremiah J. Rodell,93.0,American,, brigadier general and priest,0,0,2204,19,11,190
2100,"Keith Shackleton, 92, British painter and television presenter.[355]",https://en.wikipedia.org/wiki/Keith_Shackleton,2015-04-17 00:00:00,Keith Shackleton,92.0,British,, painter and television presenter,0,0,895,34,23,18
2101,"S. K. Sharma, 62, Indian cricket umpire.[356]",https://en.wikipedia.org/wiki/S._K._Sharma,2015-04-17 00:00:00,S. K. Sharma,62.0,Indian,, cricket umpire,0,0,125,3,1,12
2102,"Ann Stepan, 71, American politician, member of the Illinois House of Representatives (1991–1993).[357]",https://en.wikipedia.org/wiki/Ann_Stepan,2015-04-17 00:00:00,Ann Stepan,71.0,American,," politician, member of the Illinois House of Representatives (1991–1993)",0,0,413,17,8,6
2103,"A. Alfred Taubman, 91, American real estate developer, philanthropist and football team owner (Michigan Panthers).[358]",https://en.wikipedia.org/wiki/A._Alfred_Taubman,2015-04-17 00:00:00,A. Alfred Taubman,91.0,American,," real estate developer, philanthropist and football team owner (Michigan Panthers)",0,0,5138,303,148,84
2104,"Sir Christopher Bayly, 69, British historian.[359]",https://en.wikipedia.org/wiki/Christopher_Bayly,2015-04-18 00:00:00,Sir Christopher Bayly,69.0,British,, historian,0,0,2462,160,76,166
2105,"Walter Conahan, 87, American politician, member of the South Dakota Senate (1983–1989), cancer.[360]",https://en.wikipedia.org/wiki/Walter_Conahan,2015-04-18 00:00:00,Walter Conahan,87.0,American,cancer, politician member of the South Dakota Senate (1983–1989),0,0,846,14,4,6
2106,"Francesco Dapiran, 94, Italian Olympic rower (1948).[361]",https://en.wikipedia.org/wiki/Francesco_Dapiran,2015-04-18 00:00:00,Francesco Dapiran,94.0,Italian,, Olympic rower (1948),0,0,751,14,8,6
2107,"Gunnar Gravdahl, 87, Norwegian politician, Mayor of Bærum (1989–1992).[362]",https://en.wikipedia.org/wiki/Gunnar_Gravdahl,2015-04-18 00:00:00,Gunnar Gravdahl,87.0,Norwegian,," politician, Mayor of Bærum (1989–1992)",0,0,189,14,12,11
2108,"Joe Hutter, 77, American politician, member of the Iowa House of Representatives.[363]",https://en.wikipedia.org/wiki/Joe_Hutter,2015-04-18 00:00:00,Joe Hutter,77.0,American,," politician, member of the Iowa House of Representatives",0,0,496,16,7,7
2109,"Joseph Lechleider, 82, American inventor (DSL).[364]",https://en.wikipedia.org/wiki/Joseph_Lechleider,2015-04-18 00:00:00,Joseph Lechleider,82.0,American,, inventor (DSL),0,0,157,9,3,8
2110,"Sir Roger Lobo, 91, Macanese-born Hong Kong businessman and politician, senior unofficial member of the Legislative Council (1980–1985), moved ""Lobo Motion"" (1984), cancer.[365]",https://en.wikipedia.org/wiki/Roger_Lobo,2015-04-18 00:00:00,Sir Roger Lobo,91.0,Macanese-born Hong Kong,cancer," businessman and politician senior unofficial member of the Legislative Council (1980–1985) moved ""Lobo Motion"" (1984)",0,0,2083,94,52,40
2111,"Mario Pirani, 89, Italian journalist (la Repubblica), economist, and writer.[366]",https://en.wikipedia.org/wiki/Mario_Pirani,2015-04-18 00:00:00,Mario Pirani,89.0,Italian,," journalist (la Repubblica), economist, and writer",0,0,796,23,13,12
2112,"Bill Schultz, 76, New Zealand rugby league player (Eastern Suburbs, national team).[367]",https://en.wikipedia.org/wiki/Bill_Schultz_(New_Zealand_rugby_league_player),2015-04-18 00:00:00,Bill Schultz,76.0,New Zealand,," rugby league player (Eastern Suburbs, national team)",0,0,778,10,7,16
2113,"Laverne Torczon, 79, American football player.[368]",https://en.wikipedia.org/wiki/Laverne_Torczon,2015-04-18 00:00:00,Laverne Torczon,79.0,American,, football player,0,0,466,32,22,105
2114,"Leonid Vladimirski, 94, Russian book illustrator.[369]",https://en.wikipedia.org/wiki/Leonid_Vladimirski,2015-04-18 00:00:00,Leonid Vladimirski,94.0,Russian,, book illustrator,0,0,746,37,17,8
2115,"Erwin Waldner, 82, German footballer (VfB Stuttgart, SPAL Ferrara).[370]",https://en.wikipedia.org/wiki/Erwin_Waldner,2015-04-18 00:00:00,Erwin Waldner,82.0,German,," footballer (VfB Stuttgart, SPAL Ferrara)",0,0,151,15,10,23
2116,"Richard Anthony, 77, Egyptian-born French singer.[371]",https://en.wikipedia.org/wiki/Richard_Anthony_(singer),2015-04-19 00:00:00,Richard Anthony,77.0,Egyptian-born French,, singer,0,0,129,113,68,80
2117,"Sir Raymond Carr, 96, British historian.[372]",https://en.wikipedia.org/wiki/Raymond_Carr,2015-04-19 00:00:00,Sir Raymond Carr,96.0,British,, historian,0,0,4262,126,55,66
2118,"Haney Catchings, 66, American football coach (Prairie View A&M, Tuskegee), cancer.[373]",https://en.wikipedia.org/wiki/Haney_Catchings,2015-04-19 00:00:00,Haney Catchings,66.0,American,cancer, football coach (Prairie View A&M Tuskegee),0,0,2249,61,27,61
2119,"Uche Chukwumerije, 75, Nigerian politician, Senator for Abia North (since 2003), lung cancer.[374]",https://en.wikipedia.org/wiki/Uche_Chukwumerije,2015-04-19 00:00:00,Uche Chukwumerije,75.0,Nigerian,lung cancer, politician Senator for Abia North (since 2003),0,0,4697,67,42,262
2120,"Margot Duke, Marchioness of Reading, 96, British aristocrat.[375]","https://en.wikipedia.org/wiki/Margot_Duke,_Marchioness_of_Reading",2015-04-19 00:00:00,"Margot Duke, Marchioness of Reading",96.0,British,, aristocrat,0,0,1340,20,6,7
2121,"William Price Fox, 89, American novelist.[376]",https://en.wikipedia.org/wiki/William_Price_Fox,2015-04-19 00:00:00,William Price Fox,89.0,American,, novelist,0,0,4246,73,43,19
2122,"Lothar Friedrich, 84, German cyclist. [2]",https://en.wikipedia.org/wiki/Lothar_Friedrich,2015-04-19 00:00:00,Lothar Friedrich,84.0,German,, cyclist,0,0,150,4,2,11
2123,"Eva Galambos, 87, American politician, Mayor of Sandy Springs, Georgia (2005–2014), cancer.[377]",https://en.wikipedia.org/wiki/Eva_Galambos,2015-04-19 00:00:00,Eva Galambos,87.0,American,cancer, politician Mayor of Sandy Springs Georgia (2005–2014),0,0,1301,76,44,13
2124,"Freddie Gray, 25, American police suspect, severed spinal cord.[378]",https://en.wikipedia.org/wiki/Death_of_Freddie_Gray,2015-04-19 00:00:00,Freddie Gray,25.0,American,severed spinal cord, police suspect,4,7,25006,1697,431,321
2125,"Aliaskhab Kebekov, 43, Dagestani-Russian Islamist leader, Emir of the Caucasus Emirate (since 2014), shot.[379]",https://en.wikipedia.org/wiki/Aliaskhab_Kebekov,2015-04-19 00:00:00,Aliaskhab Kebekov,43.0,Dagestani-Russian,shot, Islamist leader Emir of the Caucasus Emirate (since 2014),0,0,3712,76,41,117
2126,"Sandra Mackey, 77, American writer (Chicago Tribune, Wall Street Journal).[380]",https://en.wikipedia.org/wiki/Sandra_Mackey,2015-04-19 00:00:00,Sandra Mackey,77.0,American,," writer (Chicago Tribune, Wall Street Journal)",0,0,922,44,27,22
2127,"István Marton, 72, Hungarian politician.[381]",https://en.wikipedia.org/wiki/Istv%C3%A1n_Marton_(politician),2015-04-19 00:00:00,István Marton,72.0,Hungarian,, politician,0,0,624,14,8,9
2128,"Roy Mason, Baron Mason of Barnsley, 91, British politician, MP for Barnsley (1953–1983) and Barnsley Central (1983–1987), Secretary of State for Northern Ireland (1976–1979).[382]",https://en.wikipedia.org/wiki/Roy_Mason,2015-04-19 00:00:00,"Roy Mason, Baron Mason of Barnsley",91.0,British,," politician, MP for Barnsley (1953–1983) and Barnsley Central (1983–1987), Secretary of State for Northern Ireland (1976–1979)",0,0,3827,210,106,243
2129,"Scott Mason, 55, American radio personality.[383]",https://en.wikipedia.org/wiki/Scott_Mason_(radio_personality),2015-04-19 00:00:00,Scott Mason,55.0,American,, radio personality,0,0,2358,54,36,32
2130,"Tom McCabe, 60, Scottish politician, Minister for Finance and Public Service Reform (2004–2007).[384]",https://en.wikipedia.org/wiki/Tom_McCabe,2015-04-19 00:00:00,Tom McCabe,60.0,Scottish,," politician, Minister for Finance and Public Service Reform (2004–2007)",0,0,2046,79,48,57
2131,"Tony Morelli, 58, Canadian stunt performer (The X-Files, Smallville, Rise of the Planet of the Apes).[385]",https://en.wikipedia.org/wiki/Tony_Morelli,2015-04-19 00:00:00,Tony Morelli,58.0,Canadian,," stunt performer (The X-Files, Smallville, Rise of the Planet of the Apes)",0,0,488,12,7,7
2132,"Hiroyuki Nishimoto, 88, Japanese voice actor (Moomin), aortic dissection.[386]",https://en.wikipedia.org/wiki/Hiroyuki_Nishimoto,2015-04-19 00:00:00,Hiroyuki Nishimoto,88.0,Japanese,aortic dissection, voice actor (Moomin),0,0,539,13,4,7
2133,"Theodosia Okoh, 92, Ghanaian flag designer and sports administrator.[387]",https://en.wikipedia.org/wiki/Theodosia_Okoh,2015-04-19 00:00:00,Theodosia Okoh,92.0,Ghanaian,, flag designer and sports administrator,0,0,3450,63,27,24
2134,"Michael J. D. Powell, 78, British mathematician.[388]",https://en.wikipedia.org/wiki/Michael_J._D._Powell,2015-04-19 00:00:00,Michael J. D. Powell,78.0,British,, mathematician,0,0,1576,79,46,94
2135,"Else Repål, 85, Norwegian politician.[389]",https://en.wikipedia.org/wiki/Else_Rep%C3%A5l,2015-04-19 00:00:00,Else Repål,85.0,Norwegian,, politician,0,0,370,16,12,12
2136,"Oktay Sinanoğlu, 80, Turkish scientist.[390]",https://en.wikipedia.org/wiki/Oktay_Sinano%C4%9Flu,2015-04-19 00:00:00,Oktay Sinanoğlu,80.0,Turkish,, scientist,0,0,4933,861,232,64
2137,"Bernard Stollman, 85, American record label founder (ESP-Disk), colon and spine cancer.[391]",https://en.wikipedia.org/wiki/Bernard_Stollman,2015-04-19 00:00:00,Bernard Stollman,85.0,American,colon and spine cancer, record label founder (ESP-Disk),0,0,3653,35,18,25
2138,"Elio Toaff, 99, Italian rabbi, Chief Rabbi of Rome (1951–2002).[392]",https://en.wikipedia.org/wiki/Elio_Toaff,2015-04-19 00:00:00,Elio Toaff,99.0,Italian,," rabbi, Chief Rabbi of Rome (1951–2002)",0,0,8624,107,58,46
2139,"Betty Willis, 91, American graphic designer (Welcome to Fabulous Las Vegas sign).[393]",https://en.wikipedia.org/wiki/Betty_Willis,2015-04-19 00:00:00,Betty Willis,91.0,American,, graphic designer (Welcome to Fabulous Las Vegas sign),0,0,1211,66,31,14
2140,"Casimir Witucki, 86, American football player (Washington Redskins).[394]",https://en.wikipedia.org/wiki/Casimir_Witucki,2015-04-19 00:00:00,Casimir Witucki,86.0,American,, football player (Washington Redskins),0,0,1209,42,23,37
2141,"Gilberto Almeida, 86, Ecuadorian painter.[395]",https://en.wikipedia.org/wiki/Gilberto_Almeida,2015-04-20 00:00:00,Gilberto Almeida,86.0,Ecuadorian,, painter,0,0,987,28,16,12
2142,"Gary Brain, 72, New Zealand timpanist and conductor.[396]",https://en.wikipedia.org/wiki/Gary_Brain,2015-04-20 00:00:00,Gary Brain,72.0,New Zealand,, timpanist and conductor,0,0,2619,138,52,31
2143,"Doug Buffone, 70, American football player (Chicago Bears) and radio host.[397]",https://en.wikipedia.org/wiki/Doug_Buffone,2015-04-20 00:00:00,Doug Buffone,70.0,American,, football player (Chicago Bears) and radio host,0,0,4041,151,89,150
2144,"Cláudio Cunha, 68, Brazilian actor.[398]",https://en.wikipedia.org/wiki/Cl%C3%A1udio_Cunha,2015-04-20 00:00:00,Cláudio Cunha,68.0,Brazilian,, actor,0,0,262,16,9,8
2145,"Hassan El-Shazly, 71, Egyptian footballer (Tersana, national team).[399]",https://en.wikipedia.org/wiki/Hassan_El-Shazly,2015-04-20 00:00:00,Hassan El-Shazly,71.0,Egyptian,," footballer (Tersana, national team)",0,0,885,57,35,104
2146,"Pedro Eugênio, 65, Brazilian politician, MP (1998–2014), complications from surgery.[400]",https://en.wikipedia.org/wiki/Pedro_Eug%C3%AAnio,2015-04-20 00:00:00,Pedro Eugênio,65.0,Brazilian,complications from surgery, politician MP (1998–2014),0,0,132,3,2,5
2147,"Tommy Graham, 72, Scottish politician.[401]",https://en.wikipedia.org/wiki/Tommy_Graham,2015-04-20 00:00:00,Tommy Graham,72.0,Scottish,, politician,0,0,1424,76,48,27
2148,"Peter Howell, 96, British actor (Emergency – Ward 10, Shadowlands, The Prisoner).[402]",https://en.wikipedia.org/wiki/Peter_Howell_(actor),2015-04-20 00:00:00,Peter Howell,96.0,British,," actor (Emergency – Ward 10, Shadowlands, The Prisoner)",0,0,817,74,47,59
2149,"Albert Kalonji, 85, Congolese politician, King of South Kasai.[403]",https://en.wikipedia.org/wiki/Albert_Kalonji,2015-04-20 00:00:00,Albert Kalonji,85.0,Congolese,," politician, King of South Kasai",0,0,3347,81,39,54
2150,"Aharon Lichtenstein, 81, French-born American-Israeli rabbi, recipient of the Israel Prize (2014).[404]",https://en.wikipedia.org/wiki/Aharon_Lichtenstein,2015-04-20 00:00:00,Aharon Lichtenstein,81.0,French-born American,,"-Israeli rabbi, recipient of the Israel Prize (2014)",0,0,2623,249,133,161
2151,"Bob Maloubier, 92, French secret agent.[405]",https://en.wikipedia.org/wiki/Bob_Maloubier,2015-04-20 00:00:00,Bob Maloubier,92.0,French,, secret agent,0,0,671,14,7,17
2152,"Frederic Morton, 90, Austrian-born American writer.[406]",https://en.wikipedia.org/wiki/Frederic_Morton,2015-04-20 00:00:00,Frederic Morton,90.0,Austrian-born American,, writer,0,0,866,83,47,43
2153,"Bob St. Clair, 84, American Hall of Fame football player (San Francisco 49ers).[407]",https://en.wikipedia.org/wiki/Bob_St._Clair,2015-04-20 00:00:00,Bob St. Clair,84.0,American,, Hall of Fame football player (San Francisco 49ers),0,0,1883,119,83,477
2154,"Ibrahim Yusri, 65, Egyptian actor (The Terrorist), kidney failure.[408]",https://en.wikipedia.org/wiki/Ibrahim_Yusri,2015-04-20 00:00:00,Ibrahim Yusri,65.0,Egyptian,kidney failure, actor (The Terrorist),0,0,200,9,8,3
2155,"M. H. Abrams, 102, American literary critic.[409]",https://en.wikipedia.org/wiki/M._H._Abrams,2015-04-21 00:00:00,M. H. Abrams,102.0,American,, literary critic,0,0,3238,179,113,104
2156,"Mykola Bahrov, 77, Ukrainian academician and politician.[410]",https://en.wikipedia.org/wiki/Mykola_Bahrov,2015-04-21 00:00:00,Mykola Bahrov,77.0,Ukrainian,, academician and politician,0,0,368,46,10,16
2157,"Steve Byrnes, 56, American sports announcer (NASCAR on Fox), head and neck cancer.[411]",https://en.wikipedia.org/wiki/Steve_Byrnes,2015-04-21 00:00:00,Steve Byrnes,56.0,American,head and neck cancer, sports announcer (NASCAR on Fox),0,0,3855,233,129,170
2158,"Gideon Eilat, 91, Israeli soldier.[412]",https://en.wikipedia.org/wiki/Gideon_Eilat,2015-04-21 00:00:00,Gideon Eilat,91.0,Israeli,, soldier,0,0,6524,52,23,8
2159,"Betsy von Furstenberg, 83, German-born American actress (As the World Turns) and baroness, Alzheimer's disease.[413]",https://en.wikipedia.org/wiki/Betsy_von_Furstenberg,2015-04-21 00:00:00,Betsy von Furstenberg,83.0,German-born American,Alzheimer's disease, actress (As the World Turns) and baroness,0,0,3093,108,43,40
2160,"Edan Milton Hughes, 80, American art dealer and author.[414]",https://en.wikipedia.org/wiki/Edan_Milton_Hughes,2015-04-21 00:00:00,Edan Milton Hughes,80.0,American,, art dealer and author,0,0,2773,24,12,25
2161,"Bakhtyar Khudojnazarov, 49, Tajik-Russian film director (Luna Papa).[415]",https://en.wikipedia.org/wiki/Bakhtyar_Khudojnazarov,2015-04-21 00:00:00,Bakhtyar Khudojnazarov,49.0,Tajik-Russian,, film director (Luna Papa),0,0,487,24,20,32
2162,"Ferenc Konrád, 70, Hungarian water polo player, Olympic bronze (1968), silver (1972) and gold (1976) medalist.[416]",https://en.wikipedia.org/wiki/Ferenc_Konr%C3%A1d,2015-04-21 00:00:00,Ferenc Konrád,70.0,Hungarian,," water polo player, Olympic bronze (1968), silver (1972) and gold (1976) medalist",0,0,189,13,9,18
2163,"Jim McCarthy, 90, Irish rugby union player (national team).[417]",https://en.wikipedia.org/wiki/Jim_McCarthy_(rugby),2015-04-21 00:00:00,Jim McCarthy,90.0,Irish,, rugby union player (national team),0,0,256,14,7,89
2164,"Sergei Mikhalev, 67, Russian ice hockey coach, traffic collision.[418]",https://en.wikipedia.org/wiki/Sergei_Mikhalev,2015-04-21 00:00:00,Sergei Mikhalev,67.0,Russian,traffic collision, ice hockey coach,0,0,524,13,6,7
2165,"John Moshoeu, 49, South African footballer (Kaizer Chiefs, Giant Blackpool, national team), African Cup of Nations champion (1996), cancer.[419]",https://en.wikipedia.org/wiki/John_Moshoeu,2015-04-21 00:00:00,John Moshoeu,49.0,South African,cancer, footballer (Kaizer Chiefs Giant Blackpool national team) African Cup of Nations champion (1996),0,0,4803,187,105,127
2166,"Janaki Ballabh Patnaik, 88, Indian politician, Chief Minister of Odisha (1980–1989, 1995–1999), Governor of Assam (2009–2014), heart attack.[420]",https://en.wikipedia.org/wiki/Janaki_Ballabh_Patnaik,2015-04-21 00:00:00,Janaki Ballabh Patnaik,88.0,Indian,heart attack, politician Chief Minister of Odisha (1980–1989 1995–1999) Governor of Assam (2009–2014),0,0,1582,146,90,84
2167,"Robert P. Patterson, Jr., 91, American federal judge.[421]","https://en.wikipedia.org/wiki/Robert_P._Patterson,_Jr.",2015-04-21 00:00:00,"Robert P. Patterson, Jr.",91.0,American,, federal judge,0,0,2387,43,24,35
2168,"Borisav Pisić, 66, Yugoslav Olympic hurdler (1980).[422]",https://en.wikipedia.org/wiki/Borisav_Pisi%C4%87,2015-04-21 00:00:00,Borisav Pisić,66.0,Yugoslav,, Olympic hurdler (1980),0,0,158,25,13,31
2169,"Sydney Valpy Radley-Walters, 95, Canadian WWII tank commander.[423]",https://en.wikipedia.org/wiki/Sydney_Valpy_Radley-Walters,2015-04-21 00:00:00,Sydney Valpy Radley-Walters,95.0,Canadian,, WWII tank commander,0,0,3015,103,60,87
2170,"Abdel Rahman el-Abnudi, 76, Egyptian poet.[424]",https://en.wikipedia.org/wiki/Abdel_Rahman_el-Abnudi,2015-04-21 00:00:00,Abdel Rahman el-Abnudi,76.0,Egyptian,, poet,0,0,702,121,65,50
2171,"Derek Vonberg, 93, British physicist.[425] (death announced on this date)",https://en.wikipedia.org/wiki/Derek_Vonberg,2015-04-21 00:00:00,Derek Vonberg,93.0,British,, physicist,0,0,318,6,4,7
2172,"Dave Walker, 73, English footballer (Burnley, Southampton).[426]",https://en.wikipedia.org/wiki/Dave_Walker_(footballer),2015-04-21 00:00:00,Dave Walker,73.0,English,," footballer (Burnley, Southampton)",0,0,273,49,31,13
2173,"Elizabeth Weaver, 74, American judge, Michigan Supreme Court Justice (1995–2010), Chief Justice (1991–2001).[427]",https://en.wikipedia.org/wiki/Elizabeth_Weaver,2015-04-21 00:00:00,Elizabeth Weaver,74.0,American,," judge, Michigan Supreme Court Justice (1995–2010), Chief Justice (1991–2001)",0,0,1034,37,20,121
2174,"Cindy Yang, 24, Taiwanese model and actress (First of May), suicide by helium inhalation.[428]",https://en.wikipedia.org/wiki/Cindy_Yang,2015-04-21 00:00:00,Cindy Yang,24.0,Taiwanese,suicide by helium inhalation, model and actress (First of May),0,0,846,24,11,13
2175,"Hugh Alan Anderson, 81, Canadian politician.[429]",https://en.wikipedia.org/wiki/Hugh_Alan_Anderson,2015-04-22 00:00:00,Hugh Alan Anderson,81.0,Canadian,, politician,0,0,676,18,17,13
2176,"Dick Balharry, 77, British conservationist, cancer.[430]",https://en.wikipedia.org/wiki/Dick_Balharry,2015-04-22 00:00:00,Dick Balharry,77.0,British,cancer, conservationist,0,0,4430,80,33,12
2177,"Peter B. Best, 76, British marine mammal expert.[431]",https://en.wikipedia.org/wiki/Peter_B._Best,2015-04-22 00:00:00,Peter B. Best,76.0,British,, marine mammal expert,0,0,765,6,2,6
2178,"Dorothy Custer, 103, American comedian.[432]",https://en.wikipedia.org/wiki/Dorothy_Custer,2015-04-22 00:00:00,Dorothy Custer,103.0,American,, comedian,0,0,1897,36,21,11
2179,"Yoichi Funado, 71, Japanese novelist, thymic cancer.[433]",https://en.wikipedia.org/wiki/Yoichi_Funado,2015-04-22 00:00:00,Yoichi Funado,71.0,Japanese,thymic cancer, novelist,0,0,699,17,9,11
2180,"Régis Ghesquière, 65, Belgian decathlete, heart attack.[434]",https://en.wikipedia.org/wiki/R%C3%A9gis_Ghesqui%C3%A8re,2015-04-22 00:00:00,Régis Ghesquière,65.0,Belgian,heart attack, decathlete,0,0,466,23,18,13
2181,"Alasdair Graham, 85, Canadian politician, Senator for Nova Scotia (1972–2004).[435]",https://en.wikipedia.org/wiki/Alasdair_Graham,2015-04-22 00:00:00,Alasdair Graham,85.0,Canadian,," politician, Senator for Nova Scotia (1972–2004)",0,0,968,66,48,142
2182,"Nagare Hagiwara, 62, Japanese actor, traffic collision.[436]",https://en.wikipedia.org/wiki/Nagare_Hagiwara,2015-04-22 00:00:00,Nagare Hagiwara,62.0,Japanese,traffic collision, actor,0,0,291,12,9,12
2183,"Imtiaz Alam Hanfi, 86, Pakistani banker.[437]",https://en.wikipedia.org/wiki/Imtiaz_Alam_Hanfi,2015-04-22 00:00:00,Imtiaz Alam Hanfi,86.0,Pakistani,, banker,0,0,4994,71,48,25
2184,"Ronny Lee, 88, American guitarist and writer.[438]",https://en.wikipedia.org/wiki/Ronny_Lee,2015-04-22 00:00:00,Ronny Lee,88.0,American,, guitarist and writer,0,0,11249,338,18,8
2185,"Audree Norton, 88, American actress.[439]",https://en.wikipedia.org/wiki/Audree_Norton,2015-04-22 00:00:00,Audree Norton,88.0,American,, actress,0,0,1269,29,18,5
2186,"Bernard Penfold, 98, British army general, general manager of the Royal Hong Kong Jockey Club (1972–1979).[440]",https://en.wikipedia.org/wiki/Bernard_Penfold,2015-04-22 00:00:00,Bernard Penfold,98.0,British,," army general, general manager of the Royal Hong Kong Jockey Club (1972–1979)",0,0,1098,37,15,14
2187,"Aideen O'Kelly, 74, Irish actress.[441]",https://en.wikipedia.org/wiki/Aideen_O%27Kelly,2015-04-22 00:00:00,Aideen O'Kelly,74.0,Irish,, actress,0,0,1571,45,26,14
2188,"Páll Skúlason, 69, Icelandic philosopher.[442]",https://en.wikipedia.org/wiki/P%C3%A1ll_Sk%C3%BAlason,2015-04-22 00:00:00,Páll Skúlason,69.0,Icelandic,, philosopher,0,0,784,39,30,23
2189,"Gennadi Vengerov, 55, Belarusian-born Soviet actor (Enemy at the Gates), lung and bone cancer.[443]",https://en.wikipedia.org/wiki/Gennadi_Vengerov,2015-04-22 00:00:00,Gennadi Vengerov,55.0,Belarusian-born Soviet,lung and bone cancer, actor (Enemy at the Gates),0,0,2207,47,23,18
