id,text,url,death_date,name,age,nationality,cause,description,votes,sortorder,article_length,versions,editors,inbound_links
6219,"Robert Austin Larter, 90, Canadian politician.[386]",https://en.wikipedia.org/wiki/Robert_Austin_Larter,2015-12-26 00:00:00,Robert Austin Larter,90.0,Canadian,, politician,0,0,599,10,4,11
6220,"Emory Melton, 92, American politician, Missouri State Senator (1972–1996).[387]",https://en.wikipedia.org/wiki/Emory_Melton,2015-12-26 00:00:00,Emory Melton,92.0,American,," politician, Missouri State Senator (1972–1996)",0,0,442,18,9,3
6221,"William O'Callaghan, 94, Irish Army lieutenant general, Force Commander (United Nations Interim Force in Lebanon).[388]",https://en.wikipedia.org/wiki/William_O%27Callaghan_(Irish_Army_officer),2015-12-26 00:00:00,William O'Callaghan,94.0,Irish,," Army lieutenant general, Force Commander (United Nations Interim Force in Lebanon)",0,0,2509,77,28,10
6222,"Jim O'Toole, 78, American baseball player (Cincinnati Reds).[389]",https://en.wikipedia.org/wiki/Jim_O%27Toole,2015-12-26 00:00:00,Jim O'Toole,78.0,American,, baseball player (Cincinnati Reds),0,0,2654,143,85,215
6223,"Mac Otten, 90, American basketball player (St. Louis Bombers).[390]",https://en.wikipedia.org/wiki/Mac_Otten,2015-12-26 00:00:00,Mac Otten,90.0,American,, basketball player (St. Louis Bombers),0,0,548,22,13,13
6224,"Jamie Parsons, 74, American politician, Mayor of Juneau (1991–1994), cancer.[391]",https://en.wikipedia.org/wiki/Jamie_Parsons,2015-12-26 00:00:00,Jamie Parsons,74.0,American,cancer, politician Mayor of Juneau (1991–1994),0,0,3488,10,7,9
6225,"Frank B. Salisbury, 89, American plant physiologist.[392]",https://en.wikipedia.org/wiki/Frank_B._Salisbury,2015-12-26 00:00:00,Frank B. Salisbury,89.0,American,, plant physiologist,0,0,795,21,16,11
6226,"Mary Scranton, 97, American community advocate and philanthropist, First Lady of Pennsylvania (1963–1967), Alzheimer's disease.[393]",https://en.wikipedia.org/wiki/Mary_Scranton,2015-12-26 00:00:00,Mary Scranton,97.0,American,Alzheimer's disease, community advocate and philanthropist First Lady of Pennsylvania (1963–1967),0,0,7295,14,8,13
6227,"Sten Wickbom, 84, Swedish politician, Governor of Kronoberg County (1988–1995), Minister for Justice (1983–1987).[395]",https://en.wikipedia.org/wiki/Sten_Wickbom,2015-12-26 00:00:00,Sten Wickbom,84.0,Swedish,," politician, Governor of Kronoberg County (1988–1995), Minister for Justice (1983–1987)",0,0,987,5,4,8
6228,"Naji al Jurf, 37, Syrian journalist and filmmaker, shot.[396]",https://en.wikipedia.org/wiki/Naji_al_Jurf,2015-12-27 00:00:00,Naji al Jurf,37.0,Syrian,shot, journalist and filmmaker,0,0,1368,29,10,3
