id,text,url,death_date,name,age,nationality,claim,cause
8979,"Yuri Volkov, 79, Russian ice hockey player (Krylya Sovetov Moscow, HC Dynamo Moscow, national team).[310]",https://en.wikipedia.org/wiki/Yuri_Volkov,2016-05-17 00:00:00,Yuri Volkov,79,Russian,ice hockey player,
8980,"Elaine Abraham, 86, American Tlingit elder and nurse.[311]",https://en.wikipedia.org/wiki/Elaine_Abraham,2016-05-18 00:00:00,Elaine Abraham,86,American,Tlingit elder and nurse,
8981,"Luis H. Álvarez, 96, Mexican industrialist and politician, President of the National Action Party (1987–1993).[312]",https://en.wikipedia.org/wiki/Luis_H._%C3%81lvarez,2016-05-18 00:00:00,Luis H. Álvarez,96,Mexican,industrialist and politician,
8982,"Ethel Bush, 100, British police officer.[313]",https://en.wikipedia.org/wiki/Ethel_Bush,2016-05-18 00:00:00,Ethel Bush,100,British,police officer,
8983,"Eduardo Castrillo, 73, Filipino sculptor, cancer.[314]",https://en.wikipedia.org/wiki/Eduardo_Castrillo,2016-05-18 00:00:00,Eduardo Castrillo,73,Filipino,sculptor,cancer
8984,"Adrian Flowers, 89, British photographer.[315]",https://en.wikipedia.org/wiki/Adrian_Flowers,2016-05-18 00:00:00,Adrian Flowers,89,British,photographer,
8985,"Astrid Gunnestad, 77, Norwegian journalist.[316]",https://en.wikipedia.org/wiki/Astrid_Gunnestad,2016-05-18 00:00:00,Astrid Gunnestad,77,Norwegian,journalist,
8986,"Ida Pedanda Gede Made Gunung, 63, Indonesian Hindu priest.[317]",https://en.wikipedia.org/wiki/Ida_Pedanda_Gede_Made_Gunung,2016-05-18 00:00:00,Ida Pedanda Gede Made Gunung,63,Indonesian,Hindu priest,
8987,"Zygmunt Kukla, 68, Polish footballer.[318]",https://en.wikipedia.org/wiki/Zygmunt_Kukla,2016-05-18 00:00:00,Zygmunt Kukla,68,Polish,footballer,
8988,"Adán Nigaglioni Loyola, 86, Puerto Rican doctor and educator.[319]",https://en.wikipedia.org/wiki/Ad%C3%A1n_Nigaglioni_Loyola,2016-05-18 00:00:00,Adán Nigaglioni Loyola,86,Puerto Rican,doctor and educator,
8989,"Kornél Pajor, 92, Hungarian speed skater, world champion (1949).[320] (death announced on this date)",https://en.wikipedia.org/wiki/Korn%C3%A9l_Pajor,2016-05-18 00:00:00,Kornél Pajor,92,Hungarian,speed skater,
8990,"Michael Reichmann, 71, Canadian photographer and blogger.[321]",https://en.wikipedia.org/wiki/Michael_Reichmann,2016-05-18 00:00:00,Michael Reichmann,71,Canadian,photographer and blogger,
8991,"Boris Schnaiderman, 99, Ukrainian-born Brazilian translator, writer and essayist.[322]",https://en.wikipedia.org/wiki/Boris_Schnaiderman,2016-05-18 00:00:00,Boris Schnaiderman,99,Ukrainian-born Brazilian,translator,
8992,"Fritz Stern, 90, German-born American historian.[323]",https://en.wikipedia.org/wiki/Fritz_Stern,2016-05-18 00:00:00,Fritz Stern,90,German-born American,historian,
8993,"Susan Tolchin, 75, American political scientist, ovarian cancer.[324]",https://en.wikipedia.org/wiki/Susan_Tolchin,2016-05-18 00:00:00,Susan Tolchin,75,American,political scientist,ovarian cancer
8994,"Ian Watkin, 76, New Zealand actor (Braindead, Sleeping Dogs, Charlotte's Web).[325]",https://en.wikipedia.org/wiki/Ian_Watkin,2016-05-18 00:00:00,Ian Watkin,76,New Zealand,actor,
8995,"Doris Yankelewitz Berger, 82, Costa Rican artist and politician, First Lady (1982–1986).[326]",https://en.wikipedia.org/wiki/Doris_Yankelewitz_Berger,2016-05-18 00:00:00,Doris Yankelewitz Berger,82,Costa Rican,artist and politician,
8996,"Alexandre Astruc, 92, French film critic and director.[327]",https://en.wikipedia.org/wiki/Alexandre_Astruc,2016-05-19 00:00:00,Alexandre Astruc,92,French,film critic and director,
8997,"Irving Benson, 102, American actor and comedian.[328]",https://en.wikipedia.org/wiki/Irving_Benson,2016-05-19 00:00:00,Irving Benson,102,American,actor and comedian,
8998,"John Berry, 52, American musician (Beastie Boys), frontal lobe dementia.[329]",https://en.wikipedia.org/wiki/John_Berry_(musician),2016-05-19 00:00:00,John Berry,52,American,musician,frontal lobe dementia
8999,"Ronald C. Davidson, 74, Canadian physicist, complications from pneumonia.[330]",https://en.wikipedia.org/wiki/Ronald_C._Davidson,2016-05-19 00:00:00,Ronald C. Davidson,74,Canadian,physicist,complications from pneumonia
9000,"Jan Deutsch, 80, American philosopher and legal scholar.[331]",https://en.wikipedia.org/wiki/Jan_Deutsch,2016-05-19 00:00:00,Jan Deutsch,80,American,philosopher and legal scholar,
9001,"George Forty, 88, British Army officer and author.[332]",https://en.wikipedia.org/wiki/George_Forty,2016-05-19 00:00:00,George Forty,88,British,Army officer and author,
9002,"Jim Ray Hart, 74, American baseball player (San Francisco Giants).[333]",https://en.wikipedia.org/wiki/Jim_Ray_Hart,2016-05-19 00:00:00,Jim Ray Hart,74,American,baseball player,
9003,"Hugh Honour, 88, British art historian.[334]",https://en.wikipedia.org/wiki/Hugh_Honour,2016-05-19 00:00:00,Hugh Honour,88,British,art historian,
9004,"Hu Hongwen, 91, Chinese organic chemist and academician (Chinese Academy of Sciences).[335]",https://en.wikipedia.org/wiki/Hu_Hongwen,2016-05-19 00:00:00,Hu Hongwen,91,Chinese,organic chemist and academician,
9005,"Cindy Nicholas, 58, Canadian long distance swimmer and politician, liver cancer.[336]",https://en.wikipedia.org/wiki/Cindy_Nicholas,2016-05-19 00:00:00,Cindy Nicholas,58,Canadian,long distance swimmer and politician,liver cancer
